"","Region_EN","Incidence","Mortality","Recovery_R","min_min_col","mean_min_col","max_min_col","min_mean_col","mean_mean_col","max_mean_col","min_max_col","mean_max_col","max_max_col","mf_ratio","age65_ratio","group"
"2","Enshi Tujia and Miao Autonomous"," 476.47","1.72","70.32"," -7.70"," -0.54"," 5.90"," -0.72"," 3.35"," 8.17","  4.00"," 7.60","12.30","0.99","0.143","3"
"5","Ili Kazak Autonomous","  57.47","2.42","68.16","-14.80"," -5.73"," 1.50","-12.00","-3.74"," 1.70","-10.50","-1.93"," 2.20","1.02","0.067","3"
"6","Bengbu"," 291.63","2.92","72.06","-12.80"," -2.87"," 4.30"," -7.78"," 2.18"," 8.30"," -2.90"," 8.23","14.50","1.02","0.129","3"
"10","Chengdu","  59.60","1.81","64.81","-17.30","-11.65","-7.20","-10.38","-6.38","-1.40"," -5.60","-0.93"," 5.80","1.03","0.129","3"
"12","Dandong","  26.91","7.33","71.61","-11.90"," -3.98"," 4.90","-11.18","-1.73"," 5.50","-10.50"," 0.55"," 6.80","1.01","0.155","3"
"14","Dezhou","  42.44","4.26","58.80","-20.00"," -7.55","-0.50","-12.95","-2.38"," 4.05"," -6.20"," 3.61","10.50","1.04","0.141","3"
"16","Ezhou","7716.22","3.76","64.55"," -6.60","  0.25"," 7.10"," -2.80"," 4.29","10.02","  1.30"," 9.25","16.40","1.07","0.112","3"
"22","Hefei"," 138.38","0.52","72.90"," -5.20","  1.68"," 8.30"," -1.98"," 5.77","10.95","  1.20","10.56","17.50","1.04","0.120","3"
"25","Huanggang","2919.27","3.67","69.37"," -5.20","  1.68"," 8.30"," -1.98"," 5.77","10.95","  1.20","10.56","17.50","1.02","0.133","3"
"26","Huangshi","2579.44","3.02","67.40"," -1.10","  4.06","13.60","  2.05"," 7.92","15.10","  5.60","12.21","18.70","1.03","0.108","3"
"27","Jingmen","2015.75","3.98","64.39"," -6.60","  0.25"," 7.10"," -2.80"," 4.29","10.02","  1.30"," 9.25","16.40","1.00","0.116","3"
"28","Jingzhou","1746.30","2.83","67.52"," -0.50","  4.19","10.10","  0.80"," 7.47","13.30","  2.10","11.31","17.50","0.99","0.131","3"
"30","Liupanshui","  23.08","9.29","64.45"," -8.60"," -1.71"," 2.00"," -1.20"," 2.85"," 7.50","  2.90"," 8.59","14.00","1.10","0.092","3"
"33","Qingdao","  43.52","1.47","72.36"," -5.10","  2.45"," 7.60"," -4.28"," 4.30"," 9.72"," -2.70"," 6.52","13.90","1.06","0.143","3"
"38","Shiyan","1232.91","0.84","67.59"," -8.80"," -1.86"," 5.90"," -3.85"," 2.50"," 8.75","  1.90"," 8.00","13.90","1.07","0.117","3"
"42","Suizhou","3733.16","2.78","63.59"," -6.60","  0.25"," 7.10"," -2.80"," 4.29","10.02","  1.30"," 9.25","16.40","1.00","0.120","3"
"43","Taian","  37.59","4.43","71.98","-20.00"," -7.55","-0.50","-12.95","-2.38"," 4.05"," -6.20"," 3.61","10.50","1.01","0.147","3"
"46","Weihai","  90.39","1.06","68.65"," -5.10","  2.45"," 7.60"," -4.28"," 4.30"," 9.72"," -2.70"," 6.52","13.90","1.01","0.179","3"
"48","Weihai.1","  90.39","1.06","68.65","-13.00"," -7.97","-0.20","-10.23","-4.42"," 2.12"," -7.70","-0.71"," 4.60","1.05","0.104","3"
"49","Xi'an","  78.14","1.28","20.42","-11.10"," -6.18"," 1.80"," -4.97","-0.46"," 4.40","  1.00"," 5.30","10.60","1.08","0.112","3"
"50","Xianning","2036.23","1.46","72.48"," -0.50","  4.19","10.10","  0.80"," 7.47","13.30","  2.10","11.31","17.50","1.04","0.103","3"
"52","Xiangyang","1333.66","2.58","65.14"," -8.80"," -1.86"," 5.90"," -3.85"," 2.50"," 8.75","  1.90"," 8.00","13.90","0.99","0.114","3"
"53","Xiaogan","4411.91","3.11","64.77"," -6.60","  0.25"," 7.10"," -2.80"," 4.29","10.02","  1.30"," 9.25","16.40","1.03","0.124","3"
"54","Xingtai","  20.48","3.97","73.97","-17.10"," -8.90","-2.70","-12.85","-4.15"," 2.10"," -6.30"," 1.21"," 7.40","1.03","0.112","3"
"55","Yichang","1424.99","3.17","62.08"," -8.80"," -1.86"," 5.90"," -3.85"," 2.50"," 8.75","  1.90"," 8.00","13.90","1.01","0.140","3"
"62","Zibo","  39.54","2.37","62.88","-15.00"," -3.61"," 3.80","-10.15"," 0.55"," 6.85"," -4.60"," 5.64","12.20","1.03","0.154","3"
