"","Region_EN","Incidence","Mortality","Recovery_R","min_min_col","mean_min_col","max_min_col","min_mean_col","mean_mean_col","max_mean_col","min_max_col","mean_max_col","max_max_col","mf_ratio","age65_ratio","group"
"1","Baynnur"," 29.65"," 7.39","62.87","-26.30","-14.60"," -7.10","-24.00","-11.22"," -4.08","-21.30"," -8.05","-0.60","1.09","0.11","2"
"8","Cangzhou"," 39.80"," 6.00","72.71","-26.50","-13.41"," -3.40","-21.85"," -9.03"," -1.78","-16.40"," -4.32"," 1.50","1.05","0.13","2"
"9","Chaoyang"," 14.64"," 4.66","55.24","-26.10","-15.49"," -5.00","-21.48","-11.68"," -2.68","-19.20"," -7.93"," 0.50","1.01","0.15","2"
"11","Daqing"," 54.77"," 3.98","65.51","-29.70","-22.43","-11.70","-26.10","-19.59"," -9.13","-24.30","-16.77","-6.80","1.02","0.11","2"
"20","Harbin","111.52"," 1.72","66.83","-28.90","-21.93"," -9.80","-26.12","-19.22"," -7.90","-24.10","-16.53","-5.70","1.06","0.12","2"
"24","Huludao"," 30.56"," 1.16","57.03","-26.10","-15.49"," -5.00","-21.48","-11.68"," -2.68","-19.20"," -7.93"," 0.50","1.00","0.15","2"
"29","Lanzhou"," 64.92"," 4.92","62.37","-19.70","-12.36"," -7.10","-15.33"," -8.12"," -2.00","-10.60"," -3.40"," 4.90","1.05","0.12","2"
"31","Qiqihar"," 49.61"," 2.25","70.59","-34.20","-27.07","-14.70","-30.98","-24.40","-12.35","-27.50","-21.38","-9.40","1.05","0.13","2"
"32","Qinhuangdao"," 19.59"," 7.65","71.66","-28.50","-18.51"," -7.20","-25.60","-14.51"," -5.48","-21.90","-10.23","-2.30","1.02","0.14","2"
"40","Siping"," 39.99"," 4.68","71.15","-24.90","-16.68"," -8.30","-20.95","-13.63"," -5.23","-19.60","-10.79","-2.30","1.02","0.12","2"
"41","Suihua"," 56.30"," 8.70","65.01","-27.00","-21.45","-11.00","-24.60","-18.75"," -8.13","-22.70","-16.17","-5.20","1.01","0.12","2"
"44","Tangshan"," 43.26"," 1.49","71.02","-22.60","-10.09"," -0.60","-18.20"," -6.15","  1.17","-13.60"," -1.71"," 3.80","1.03","0.14","2"
"51","Shuangyashan","222.33"," 5.41","64.15","-31.70","-23.26"," -9.40","-28.55","-20.18"," -8.80","-24.40","-17.16","-6.10","0.96","0.14","2"
"56","Yingkou","  3.04","10.81","77.03","-26.10","-15.49"," -5.00","-21.48","-11.68"," -2.68","-19.20"," -7.93"," 0.50","1.03","0.14","2"
