"","      X1"," Region_EN","  Incidence","  Mortality","  Recovery_R"," min_min_col"," mean_min_col"," max_min_col"," min_mean_col","mean_mean_col"," max_mean_col"," min_max_col"," mean_max_col"," max_max_col","   mf_ratio"," age65_ratio","    group"
"","Min.   : 2.00  ","Length:26         ","Min.   :  20.48  ","Min.   :0.520  ","Min.   :20.42  ","Min.   :-20.000  ","Min.   :-11.650  ","Min.   :-7.200  ","Min.   :-12.950  ","Min.   :-6.380  ","Min.   :-1.400  ","Min.   :-10.500  ","Min.   :-1.930  ","Min.   : 2.20  ","Min.   :0.99  ","Min.   :0.0670  ","Min.   :3  "
"","1st Qu.:17.50  ","Class :character  ","1st Qu.:  47.01  ","1st Qu.:1.532  ","1st Qu.:64.47  ","1st Qu.:-12.950  ","1st Qu.: -5.293  ","1st Qu.: 1.850  ","1st Qu.:-10.210  ","1st Qu.:-1.413  ","1st Qu.: 4.675  ","1st Qu.: -5.350  ","1st Qu.: 4.032  ","1st Qu.:10.53  ","1st Qu.:1.01  ","1st Qu.:0.1120  ","1st Qu.:3  "
"","Median :31.50  ","Mode  :character  ","Median : 215.00  ","Median :2.805  ","Median :67.56  ","Median : -8.700  ","Median : -1.785  ","Median : 5.900  ","Median : -3.850  ","Median : 2.675  ","Median : 8.750  ","Median :  1.200  ","Median : 8.000  ","Median :13.90  ","Median :1.03  ","Median :0.1220  ","Median :3  "
"","Mean   :32.62  ",NA,"Mean   :1256.38  ","Mean   :2.966  ","Mean   :65.80  ","Mean   : -9.415  ","Mean   : -2.005  ","Mean   : 4.800  ","Mean   : -5.345  ","Mean   : 1.960  ","Mean   : 7.797  ","Mean   : -1.342  ","Mean   : 6.568  ","Mean   :12.89  ","Mean   :1.03  ","Mean   :0.1248  ","Mean   :3  "
"","3rd Qu.:48.75  ",NA,"3rd Qu.:1948.39  ","3rd Qu.:3.737  ","3rd Qu.:71.29  ","3rd Qu.: -5.550  ","3rd Qu.:  1.323  ","3rd Qu.: 7.475  ","3rd Qu.: -2.185  ","3rd Qu.: 4.298  ","3rd Qu.:10.020  ","3rd Qu.:  1.900  ","3rd Qu.: 9.250  ","3rd Qu.:16.40  ","3rd Qu.:1.04  ","3rd Qu.:0.1407  ","3rd Qu.:3  "
"","Max.   :62.00  ",NA,"Max.   :7716.22  ","Max.   :9.290  ","Max.   :73.97  ","Max.   : -0.500  ","Max.   :  4.190  ","Max.   :13.600  ","Max.   :  2.050  ","Max.   : 7.920  ","Max.   :15.100  ","Max.   :  5.600  ","Max.   :12.210  ","Max.   :18.70  ","Max.   :1.10  ","Max.   :0.1790  ","Max.   :3  "
