date,number
31/12/2019,29
01/01/2020,35
02/01/2020,40
03/01/2020,46
04/01/2020,53
05/01/2020,59
06/01/2020,59
07/01/2020,59
08/01/2020,59
09/01/2020,52
10/01/2020,44
11/01/2020,39
12/01/2020,39
13/01/2020,41
14/01/2020,37
15/01/2020,41
16/01/2020,48
17/01/2020,84
18/01/2020,153
19/01/2020,226
20/01/2020,315
21/01/2020,401
22/01/2020,466
23/01/2020,530
24/01/2020,587
25/01/2020,619
