date,cases,real
2020-01-18,0,1
2020-01-19,2,0
2020-01-20,6,25
2020-01-21,13,20
2020-01-22,28,46
2020-01-23,55,118
2020-01-24,93,176
2020-01-25,150,357
2020-01-26,189,313
2020-01-27,256,457
2020-01-28,350,706
2020-01-29,420,844
2020-01-30,503,899
2020-01-31,541,867
2020-02-01,567,976
2020-02-02,666,1139
2020-02-03,708,1255
2020-02-04,669,1249
2020-02-05,643,1215
2020-02-06,619,965
2020-02-07,599,839
2020-02-08,575,646
2020-02-09,523,672
2020-02-10,562,513
2020-02-11,601,531
2020-02-12,602,1100
2020-02-13,603,795
2020-02-14,520,504
2020-02-15,470,235
2020-02-16,441,189
2020-02-17,368,187
2020-02-18,334,61
2020-02-19,328,15
2020-02-20,371,89
2020-02-21,324,51
2020-02-22,334,44
2020-02-23,333,38
2020-02-24,321,30
2020-02-25,340,26
2020-02-26,328,25
2020-02-27,282,4
2020-02-28,270,3
2020-02-29,253,3
2020-03-01,227,2
2020-03-02,188,10
2020-03-03,149,1
2020-03-04,110,5
2020-03-05,93,1
2020-03-06,89,1
2020-03-07,67,0
2020-03-08,61,0
2020-03-09,51,1
2020-03-10,45,0
2020-03-11,42,3
2020-03-12,34,0
2020-03-13,30,0
2020-03-14,26,8
2020-03-15,24,4
2020-03-16,22,4
2020-03-17,21,5
2020-03-18,18,10
2020-03-19,16,18
2020-03-20,14,13
2020-03-21,13,15
2020-03-22,12,13
2020-03-23,12,22
2020-03-24,10,9
2020-03-25,10,18
2020-03-26,9,17
2020-03-27,8,17
2020-03-28,7,14
2020-03-29,7,11
2020-03-30,6,9
2020-03-31,5,13
2020-04-01,5,6
2020-04-02,4,11
2020-04-03,4,3
2020-04-04,4,8
2020-04-05,4,8
2020-04-06,3,2
2020-04-07,3,3
