param1,param2,param3,lik
0.001,1,0.6,-226.8444710650959
0.002,0.5,0.1,-Inf
0.002,0.5,0.15000000000000002,-1540.2768601841244
0.002,0.5,0.2,-859.2679910686269
0.002,0.5,0.25,-Inf
0.002,0.5,0.30000000000000004,-500.45814106170127
0.002,0.5,0.35,-199.12207530519464
0.002,0.5,0.4,-Inf
0.002,0.5,0.45000000000000007,-204.18517684064136
0.002,0.5,0.5,-213.45802694583682
0.002,0.5,0.55,-200.7344635609458
0.002,0.5,0.6,-177.18113227514903
0.002,0.55,0.1,-Inf
0.002,0.55,0.15000000000000002,-1265.6292656412884
0.002,0.55,0.2,-841.5750087232332
0.002,0.55,0.25,-Inf
0.002,0.55,0.30000000000000004,-451.7224698827964
0.002,0.55,0.35,-318.496640762752
0.002,0.55,0.4,-242.0825301389986
0.002,0.55,0.45000000000000007,-266.0482441981416
0.002,0.55,0.5,-241.53577528842607
0.002,0.55,0.55,-242.01659849753446
0.002,0.55,0.6,-208.0715567573995
0.002,0.6,0.1,-2224.648901974296
0.002,0.6,0.15000000000000002,-1449.7623742843375
0.002,0.6,0.2,-915.7849775981314
0.002,0.6,0.25,-436.37551874488463
0.002,0.6,0.30000000000000004,-250.1069993849535
0.002,0.6,0.35,-Inf
0.002,0.6,0.4,-238.78179809186128
0.002,0.6,0.45000000000000007,-213.60573425436047
0.002,0.6,0.5,-Inf
0.002,0.6,0.55,-194.12440629220822
0.002,0.6,0.6,-216.11877252436875
0.002,0.65,0.1,-Inf
0.002,0.65,0.15000000000000002,-Inf
0.002,0.65,0.2,-Inf
0.002,0.65,0.25,-823.0500131774788
0.002,0.65,0.30000000000000004,-320.03012172728955
0.002,0.65,0.35,-279.196451817175
0.002,0.65,0.4,-242.34602929770637
0.002,0.65,0.45000000000000007,-231.50883468744803
0.002,0.65,0.5,-204.72637475986699
0.002,0.65,0.55,-195.93515629307353
0.002,0.65,0.6,-202.89652868330057
0.002,0.7,0.1,-2121.6993598895965
0.002,0.7,0.15000000000000002,-1117.9320839847078
0.002,0.7,0.2,-Inf
0.002,0.7,0.25,-695.6851336019962
0.002,0.7,0.30000000000000004,-441.65734411320653
0.002,0.7,0.35,-358.74983178117543
0.002,0.7,0.4,-347.8453674527955
0.002,0.7,0.45000000000000007,-236.57453717978166
0.002,0.7,0.5,-218.5475316418876
0.002,0.7,0.55,-191.82858930738496
0.002,0.7,0.6,-226.99516113320288
0.002,0.75,0.1,-Inf
0.002,0.75,0.15000000000000002,-Inf
0.002,0.75,0.2,-1092.9681520281476
0.002,0.75,0.25,-572.9769876863631
0.002,0.75,0.30000000000000004,-391.04213167817653
0.002,0.75,0.35,-341.6998950539713
0.002,0.75,0.4,-254.04109908859806
0.002,0.75,0.45000000000000007,-228.78403047719473
0.002,0.75,0.5,-208.845007565275
0.002,0.75,0.55,-202.91819577432284
0.002,0.75,0.6,-216.39378777092645
0.002,0.8,0.1,-Inf
0.002,0.8,0.15000000000000002,-Inf
0.002,0.8,0.2,-750.3161929485167
0.002,0.8,0.25,-699.6180436282796
0.002,0.8,0.30000000000000004,-505.3053221308918
0.002,0.8,0.35,-391.08270736438317
0.002,0.8,0.4,-250.9543874260799
0.002,0.8,0.45000000000000007,-223.17870548402954
0.002,0.8,0.5,-243.3132862321628
0.002,0.8,0.55,-189.74512934441634
0.002,0.8,0.6,-187.1566008190719
0.002,0.8500000000000001,0.1,-Inf
0.002,0.8500000000000001,0.15000000000000002,-1564.5157918417492
0.002,0.8500000000000001,0.2,-Inf
0.002,0.8500000000000001,0.25,-341.18815335447846
0.002,0.8500000000000001,0.30000000000000004,-Inf
0.002,0.8500000000000001,0.35,-425.51074941230183
0.002,0.8500000000000001,0.4,-275.18199529157187
0.002,0.8500000000000001,0.45000000000000007,-211.35845477358345
0.002,0.8500000000000001,0.5,-208.2417495589636
0.002,0.8500000000000001,0.55,-184.83939317554638
0.002,0.8500000000000001,0.6,-204.67786695511597
0.002,0.9,0.1,-2280.6626466363923
0.002,0.9,0.15000000000000002,-1516.911365819288
0.002,0.9,0.2,-859.8996080330417
0.002,0.9,0.25,-Inf
0.002,0.9,0.30000000000000004,-Inf
0.002,0.9,0.35,-Inf
0.002,0.9,0.4,-232.39425230302032
0.002,0.9,0.45000000000000007,-270.9973194459397
0.002,0.9,0.5,-249.1616631569293
0.002,0.9,0.55,-197.81937751638446
0.002,0.9,0.6,-179.29558805966593
0.002,0.95,0.1,-2534.3606597904836
0.002,0.95,0.15000000000000002,-1484.7208925564687
0.002,0.95,0.2,-1093.3999025878838
0.002,0.95,0.25,-786.2979701630297
0.002,0.95,0.30000000000000004,-434.88762269122634
0.002,0.95,0.35,-Inf
0.002,0.95,0.4,-Inf
0.002,0.95,0.45000000000000007,-185.18291683907756
0.002,0.95,0.5,-228.21052012506277
0.002,0.95,0.55,-236.89461347888647
0.002,0.95,0.6,-187.07076355651452
0.002,1,0.1,-2316.370686438482
0.002,1,0.15000000000000002,-Inf
0.002,1,0.2,-1075.3531799403004
0.002,1,0.25,-513.3025954507466
0.002,1,0.30000000000000004,-378.0400103172168
0.002,1,0.35,-323.1269362409837
0.002,1,0.4,-228.68615554088547
0.002,1,0.45000000000000007,-Inf
0.002,1,0.5,-217.75446618609965
0.002,1,0.55,-185.3666464798349
0.002,1,0.6,-178.87686349424223
0.003,0.5,0.1,-Inf
0.003,0.5,0.15000000000000002,-1059.9260136738267
0.003,0.5,0.2,-1186.2608041969725
0.003,0.5,0.25,-456.533338624548
0.003,0.5,0.30000000000000004,-314.56027866875945
0.003,0.5,0.35,-454.57291918020144
0.003,0.5,0.4,-212.29979711489318
0.003,0.5,0.45000000000000007,-196.16402643384816
0.003,0.5,0.5,-204.61561527053755
0.003,0.5,0.55,-222.30103097628296
0.003,0.5,0.6,-183.9212764066661
0.003,0.55,0.1,-Inf
0.003,0.55,0.15000000000000002,-1162.8132215653968
0.003,0.55,0.2,-1310.1543452111584
0.003,0.55,0.25,-580.2858523594273
0.003,0.55,0.30000000000000004,-420.2043160562829
0.003,0.55,0.35,-Inf
0.003,0.55,0.4,-230.1668986435755
0.003,0.55,0.45000000000000007,-226.4073663771465
0.003,0.55,0.5,-182.52593233108524
0.003,0.55,0.55,-243.72354304597224
0.003,0.55,0.6,-182.14483406225554
0.003,0.6,0.1,-Inf
0.003,0.6,0.15000000000000002,-902.4229861470144
0.003,0.6,0.2,-1010.7660350445133
0.003,0.6,0.25,-708.8463200577308
0.003,0.6,0.30000000000000004,-511.58043626642484
0.003,0.6,0.35,-337.35647744174844
0.003,0.6,0.4,-268.1324372231231
0.003,0.6,0.45000000000000007,-265.2035433605473
0.003,0.6,0.5,-246.36845114881203
0.003,0.6,0.55,-183.80575377448992
0.003,0.6,0.6,-181.02162438704528
0.003,0.65,0.1,-Inf
0.003,0.65,0.15000000000000002,-Inf
0.003,0.65,0.2,-906.9484445683031
0.003,0.65,0.25,-Inf
0.003,0.65,0.30000000000000004,-Inf
0.003,0.65,0.35,-332.88360595272184
0.003,0.65,0.4,-255.25836591368733
0.003,0.65,0.45000000000000007,-253.25291776314032
0.003,0.65,0.5,-238.6336591477156
0.003,0.65,0.55,-201.37496295439263
0.003,0.65,0.6,-193.79498549359715
0.003,0.7,0.1,-2240.4391138013725
0.003,0.7,0.15000000000000002,-1436.3022689196698
0.003,0.7,0.2,-513.3456364913059
0.003,0.7,0.25,-448.16938865256816
0.003,0.7,0.30000000000000004,-Inf
0.003,0.7,0.35,-342.8154562447819
0.003,0.7,0.4,-307.3527912943471
0.003,0.7,0.45000000000000007,-253.50802842581743
0.003,0.7,0.5,-201.28042345308506
0.003,0.7,0.55,-248.4036822486148
0.003,0.7,0.6,-213.2547510105196
0.003,0.75,0.1,-Inf
0.003,0.75,0.15000000000000002,-1167.2732233557294
0.003,0.75,0.2,-Inf
0.003,0.75,0.25,-Inf
0.003,0.75,0.30000000000000004,-360.6347038092225
0.003,0.75,0.35,-Inf
0.003,0.75,0.4,-336.18309596432493
0.003,0.75,0.45000000000000007,-183.43257807170983
0.003,0.75,0.5,-270.30966415632145
0.003,0.75,0.55,-204.66487272922768
0.003,0.75,0.6,-179.6261259663852
0.003,0.8,0.1,-Inf
0.003,0.8,0.15000000000000002,-1150.2261043030558
0.003,0.8,0.2,-810.1674461600883
0.003,0.8,0.25,-425.32450859095337
0.003,0.8,0.30000000000000004,-Inf
0.003,0.8,0.35,-246.88276637983392
0.003,0.8,0.4,-285.36356587494845
0.003,0.8,0.45000000000000007,-197.29738370041497
0.003,0.8,0.5,-275.4395874917925
0.003,0.8,0.55,-197.23965940996146
0.003,0.8,0.6,-217.09415141637135
0.003,0.8500000000000001,0.1,-2006.8681945224064
0.003,0.8500000000000001,0.15000000000000002,-1397.6940586850594
0.003,0.8500000000000001,0.2,-757.8482695673891
0.003,0.8500000000000001,0.25,-640.5543884680995
0.003,0.8500000000000001,0.30000000000000004,-353.6194506110329
0.003,0.8500000000000001,0.35,-351.7220730153739
0.003,0.8500000000000001,0.4,-275.03930047088886
0.003,0.8500000000000001,0.45000000000000007,-Inf
0.003,0.8500000000000001,0.5,-178.6568539756152
0.003,0.8500000000000001,0.55,-217.30858573906352
0.003,0.8500000000000001,0.6,-235.9839462425129
0.003,0.9,0.1,-Inf
0.003,0.9,0.15000000000000002,-1057.1056411512861
0.003,0.9,0.2,-998.4307003948295
0.003,0.9,0.25,-533.2501893673275
0.003,0.9,0.30000000000000004,-494.27186943758966
0.003,0.9,0.35,-337.35228521403224
0.003,0.9,0.4,-Inf
0.003,0.9,0.45000000000000007,-225.79071441693407
0.003,0.9,0.5,-236.76834167265054
0.003,0.9,0.55,-246.87478693712245
0.003,0.9,0.6,-240.7694631807483
0.003,0.95,0.1,-Inf
0.003,0.95,0.15000000000000002,-931.6677969155851
0.003,0.95,0.2,-879.4393446905003
0.003,0.95,0.25,-Inf
0.003,0.95,0.30000000000000004,-466.91404567482925
0.003,0.95,0.35,-307.21562372043087
0.003,0.95,0.4,-293.6976229010928
0.003,0.95,0.45000000000000007,-237.5572418989974
0.003,0.95,0.5,-224.91840217344287
0.003,0.95,0.55,-179.61814368917493
0.003,0.95,0.6,-179.60746758656558
0.003,1,0.1,-1540.5163879878182
0.003,1,0.15000000000000002,-1128.3116782394536
0.003,1,0.2,-Inf
0.003,1,0.25,-652.683631303933
0.003,1,0.30000000000000004,-396.7310124251733
0.003,1,0.35,-Inf
0.003,1,0.4,-Inf
0.003,1,0.45000000000000007,-244.68717457897225
0.003,1,0.5,-186.194487191542
0.003,1,0.55,-203.58808340231712
0.003,1,0.6,-179.06555014247954
0.004,0.5,0.1,-Inf
0.004,0.5,0.15000000000000002,-1503.178571014582
0.004,0.5,0.2,-Inf
0.004,0.5,0.25,-689.9217694204058
0.004,0.5,0.30000000000000004,-276.1200846088874
0.004,0.5,0.35,-366.2225196027571
0.004,0.5,0.4,-312.1745261344619
0.004,0.5,0.45000000000000007,-237.85244658577176
0.004,0.5,0.5,-207.13684719873902
0.004,0.5,0.55,-187.9315224342946
0.004,0.5,0.6,-180.79136067700222
0.004,0.55,0.1,-3383.18789831615
0.004,0.55,0.15000000000000002,-Inf
0.004,0.55,0.2,-954.9917576294857
0.004,0.55,0.25,-695.3349349403397
0.004,0.55,0.30000000000000004,-434.13763645631707
0.004,0.55,0.35,-Inf
0.004,0.55,0.4,-Inf
0.004,0.55,0.45000000000000007,-Inf
0.004,0.55,0.5,-180.42099961386344
0.004,0.55,0.55,-188.4615147500897
0.004,0.55,0.6,-185.17624670530506
0.004,0.6,0.1,-Inf
0.004,0.6,0.15000000000000002,-Inf
0.004,0.6,0.2,-900.9856617938841
0.004,0.6,0.25,-388.2857144459746
0.004,0.6,0.30000000000000004,-278.43148432473095
0.004,0.6,0.35,-342.3524996173619
0.004,0.6,0.4,-375.32395105543367
0.004,0.6,0.45000000000000007,-232.40954278339922
0.004,0.6,0.5,-Inf
0.004,0.6,0.55,-195.708997471266
0.004,0.6,0.6,-181.45409733302137
0.004,0.65,0.1,-2049.6419171803627
0.004,0.65,0.15000000000000002,-Inf
0.004,0.65,0.2,-717.4529736832263
0.004,0.65,0.25,-Inf
0.004,0.65,0.30000000000000004,-347.0391994569799
0.004,0.65,0.35,-340.42376517263335
0.004,0.65,0.4,-311.4669917711048
0.004,0.65,0.45000000000000007,-233.72062671032393
0.004,0.65,0.5,-215.45452741712432
0.004,0.65,0.55,-187.31222766463867
0.004,0.65,0.6,-180.580099689492
0.004,0.7,0.1,-1966.118848790744
0.004,0.7,0.15000000000000002,-Inf
0.004,0.7,0.2,-Inf
0.004,0.7,0.25,-718.3775840272987
0.004,0.7,0.30000000000000004,-441.3628469010714
0.004,0.7,0.35,-Inf
0.004,0.7,0.4,-219.67252008719117
0.004,0.7,0.45000000000000007,-236.50042316044284
0.004,0.7,0.5,-178.87494775001522
0.004,0.7,0.55,-198.60120459780126
0.004,0.7,0.6,-223.35980372578445
0.004,0.75,0.1,-1905.78098231602
0.004,0.75,0.15000000000000002,-Inf
0.004,0.75,0.2,-900.374207800656
0.004,0.75,0.25,-493.1864859164875
0.004,0.75,0.30000000000000004,-Inf
0.004,0.75,0.35,-279.004933882675
0.004,0.75,0.4,-304.8238801124845
0.004,0.75,0.45000000000000007,-282.08853039554367
0.004,0.75,0.5,-280.43660794190856
0.004,0.75,0.55,-187.42064209179796
0.004,0.75,0.6,-184.56832114798237
0.004,0.8,0.1,-Inf
0.004,0.8,0.15000000000000002,-1293.3838550278256
0.004,0.8,0.2,-Inf
0.004,0.8,0.25,-681.4832842841842
0.004,0.8,0.30000000000000004,-342.4856370680278
0.004,0.8,0.35,-Inf
0.004,0.8,0.4,-270.29056780752194
0.004,0.8,0.45000000000000007,-254.58585376672545
0.004,0.8,0.5,-296.96416633359667
0.004,0.8,0.55,-194.59937189977245
0.004,0.8,0.6,-207.8097944138314
0.004,0.8500000000000001,0.1,-Inf
0.004,0.8500000000000001,0.15000000000000002,-1392.8382676112585
0.004,0.8500000000000001,0.2,-Inf
0.004,0.8500000000000001,0.25,-456.9077037655353
0.004,0.8500000000000001,0.30000000000000004,-306.6698262372574
0.004,0.8500000000000001,0.35,-335.45541695107056
0.004,0.8500000000000001,0.4,-283.1059422811858
0.004,0.8500000000000001,0.45000000000000007,-293.5347415708422
0.004,0.8500000000000001,0.5,-224.63433479474782
0.004,0.8500000000000001,0.55,-275.3729562198462
0.004,0.8500000000000001,0.6,-184.4545687343322
0.004,0.9,0.1,-Inf
0.004,0.9,0.15000000000000002,-913.7133507509743
0.004,0.9,0.2,-Inf
0.004,0.9,0.25,-488.183808155815
0.004,0.9,0.30000000000000004,-315.7933334956649
0.004,0.9,0.35,-419.39295206267235
0.004,0.9,0.4,-242.0176806877642
0.004,0.9,0.45000000000000007,-247.77247133768282
0.004,0.9,0.5,-220.25141360546917
0.004,0.9,0.55,-234.65744962498587
0.004,0.9,0.6,-251.82381334650347
0.004,0.95,0.1,-1977.4780165935838
0.004,0.95,0.15000000000000002,-1114.817176555531
0.004,0.95,0.2,-673.4149493992888
0.004,0.95,0.25,-435.79605658132994
0.004,0.95,0.30000000000000004,-366.2954562066995
0.004,0.95,0.35,-313.55482545812583
0.004,0.95,0.4,-Inf
0.004,0.95,0.45000000000000007,-274.34835885728546
0.004,0.95,0.5,-196.38724240416047
0.004,0.95,0.55,-187.21347759711574
0.004,0.95,0.6,-178.67078809206384
0.004,1,0.1,-1374.1768796092529
0.004,1,0.15000000000000002,-704.7771476026135
0.004,1,0.2,-685.577643281049
0.004,1,0.25,-520.255307888519
0.004,1,0.30000000000000004,-Inf
0.004,1,0.35,-370.38241599974776
0.004,1,0.4,-270.49783130831094
0.004,1,0.45000000000000007,-182.4271244050022
0.004,1,0.5,-254.51973150537845
0.004,1,0.55,-180.14841224158187
0.004,1,0.6,-181.71963257733267
0.005,0.5,0.1,-1799.7628865310023
0.005,0.5,0.15000000000000002,-Inf
0.005,0.5,0.2,-789.1073388977709
0.005,0.5,0.25,-330.8558165181043
0.005,0.5,0.30000000000000004,-364.1124433856563
0.005,0.5,0.35,-332.1147169526493
0.005,0.5,0.4,-263.3563762138575
0.005,0.5,0.45000000000000007,-Inf
0.005,0.5,0.5,-198.83960057585284
0.005,0.5,0.55,-203.6536228983137
0.005,0.5,0.6,-183.9619974702012
0.005,0.55,0.1,-2013.4239712915034
0.005,0.55,0.15000000000000002,-Inf
0.005,0.55,0.2,-774.0193761441924
0.005,0.55,0.25,-507.69143139550147
0.005,0.55,0.30000000000000004,-Inf
0.005,0.55,0.35,-387.2758127093177
0.005,0.55,0.4,-314.9314264264467
0.005,0.55,0.45000000000000007,-Inf
0.005,0.55,0.5,-203.66327690674478
0.005,0.55,0.55,-264.1992929604909
0.005,0.55,0.6,-223.0498033427171
0.005,0.6,0.1,-2046.5448381573246
0.005,0.6,0.15000000000000002,-1309.157948705667
0.005,0.6,0.2,-572.2675689897205
0.005,0.6,0.25,-722.5414661219057
0.005,0.6,0.30000000000000004,-398.5623219703663
0.005,0.6,0.35,-Inf
0.005,0.6,0.4,-283.9069649145447
0.005,0.6,0.45000000000000007,-280.726362060817
0.005,0.6,0.5,-217.11481935653046
0.005,0.6,0.55,-209.55563878002204
0.005,0.6,0.6,-211.5278088996119
0.005,0.65,0.1,-1417.6129736842217
0.005,0.65,0.15000000000000002,-Inf
0.005,0.65,0.2,-697.6353532567744
0.005,0.65,0.25,-Inf
0.005,0.65,0.30000000000000004,-406.3635973082519
0.005,0.65,0.35,-333.5491077891083
0.005,0.65,0.4,-253.03537834066526
0.005,0.65,0.45000000000000007,-184.32632733422327
0.005,0.65,0.5,-180.81288901789958
0.005,0.65,0.55,-185.358011667062
0.005,0.65,0.6,-176.59955523419626
0.005,0.7,0.1,-1765.4104768816883
0.005,0.7,0.15000000000000002,-Inf
0.005,0.7,0.2,-664.5286960456626
0.005,0.7,0.25,-521.6098590283799
0.005,0.7,0.30000000000000004,-433.4582480583678
0.005,0.7,0.35,-364.7827075516582
0.005,0.7,0.4,-302.81608100854646
0.005,0.7,0.45000000000000007,-287.0096262958344
0.005,0.7,0.5,-241.28795565087108
0.005,0.7,0.55,-194.81717704851252
0.005,0.7,0.6,-226.76461941736852
0.005,0.75,0.1,-2074.1738032639187
0.005,0.75,0.15000000000000002,-1033.8268163848613
0.005,0.75,0.2,-588.9270240071774
0.005,0.75,0.25,-633.493788692237
0.005,0.75,0.30000000000000004,-437.18467824303383
0.005,0.75,0.35,-290.4235495945777
0.005,0.75,0.4,-347.9521657930428
0.005,0.75,0.45000000000000007,-197.91915910384256
0.005,0.75,0.5,-225.64283306296807
0.005,0.75,0.55,-215.20312605480552
0.005,0.75,0.6,-196.64025787041595
0.005,0.8,0.1,-Inf
0.005,0.8,0.15000000000000002,-Inf
0.005,0.8,0.2,-Inf
0.005,0.8,0.25,-485.0422589911321
0.005,0.8,0.30000000000000004,-485.4040248973844
0.005,0.8,0.35,-297.0220600145159
0.005,0.8,0.4,-220.88815379497777
0.005,0.8,0.45000000000000007,-270.4583082959126
0.005,0.8,0.5,-225.74936053829748
0.005,0.8,0.55,-175.4065268226733
0.005,0.8,0.6,-172.77669374531968
0.005,0.8500000000000001,0.1,-Inf
0.005,0.8500000000000001,0.15000000000000002,-1280.2864950678666
0.005,0.8500000000000001,0.2,-641.2193122661856
0.005,0.8500000000000001,0.25,-408.5037121562836
0.005,0.8500000000000001,0.30000000000000004,-403.44326482847725
0.005,0.8500000000000001,0.35,-273.8321711112642
0.005,0.8500000000000001,0.4,-360.33799809859386
0.005,0.8500000000000001,0.45000000000000007,-233.88893676692754
0.005,0.8500000000000001,0.5,-241.40590230509554
0.005,0.8500000000000001,0.55,-176.91100743741362
0.005,0.8500000000000001,0.6,-177.01411822599596
0.005,0.9,0.1,-Inf
0.005,0.9,0.15000000000000002,-798.8806268061367
0.005,0.9,0.2,-1080.8057171362684
0.005,0.9,0.25,-357.1948102711148
0.005,0.9,0.30000000000000004,-544.8688699982549
0.005,0.9,0.35,-270.1421220083892
0.005,0.9,0.4,-263.4602327280501
0.005,0.9,0.45000000000000007,-187.6619972768359
0.005,0.9,0.5,-299.250003300256
0.005,0.9,0.55,-177.8238232703353
0.005,0.9,0.6,-181.99945912871863
0.005,0.95,0.1,-1340.0494560522934
0.005,0.95,0.15000000000000002,-Inf
0.005,0.95,0.2,-898.1178838129455
0.005,0.95,0.25,-489.7705319596521
0.005,0.95,0.30000000000000004,-394.919144252839
0.005,0.95,0.35,-410.4112451925793
0.005,0.95,0.4,-Inf
0.005,0.95,0.45000000000000007,-306.54798183972133
0.005,0.95,0.5,-261.966065101927
0.005,0.95,0.55,-177.71446045850695
0.005,0.95,0.6,-180.0380577814342
0.005,1,0.1,-2213.0275316898956
0.005,1,0.15000000000000002,-1140.1531102742254
0.005,1,0.2,-693.6370460868173
0.005,1,0.25,-363.1804518638994
0.005,1,0.30000000000000004,-387.0316930793583
0.005,1,0.35,-381.44113805888253
0.005,1,0.4,-Inf
0.005,1,0.45000000000000007,-248.9133855946215
0.005,1,0.5,-191.1758718935465
0.005,1,0.55,-323.0161514245715
0.005,1,0.6,-182.25480826267852
0.006,0.5,0.1,-Inf
0.006,0.5,0.15000000000000002,-Inf
0.006,0.5,0.2,-848.6322177341585
0.006,0.5,0.25,-546.5219107449946
0.006,0.5,0.30000000000000004,-563.101017286284
0.006,0.5,0.35,-322.05725615226334
0.006,0.5,0.4,-214.17956285727882
0.006,0.5,0.45000000000000007,-224.97686117580935
0.006,0.5,0.5,-258.5627928256954
0.006,0.5,0.55,-260.8404139077394
0.006,0.5,0.6,-195.42116446410324
0.006,0.55,0.1,-1724.1489957091508
0.006,0.55,0.15000000000000002,-Inf
0.006,0.55,0.2,-826.9551206250671
0.006,0.55,0.25,-441.4258994926564
0.006,0.55,0.30000000000000004,-Inf
0.006,0.55,0.35,-297.7618239952081
0.006,0.55,0.4,-Inf
0.006,0.55,0.45000000000000007,-Inf
0.006,0.55,0.5,-287.43437526933593
0.006,0.55,0.55,-227.67193119055162
0.006,0.55,0.6,-213.63097238237754
0.006,0.6,0.1,-Inf
0.006,0.6,0.15000000000000002,-Inf
0.006,0.6,0.2,-837.258930076872
0.006,0.6,0.25,-465.0458940476094
0.006,0.6,0.30000000000000004,-365.15635265492875
0.006,0.6,0.35,-330.97809200547056
0.006,0.6,0.4,-217.38898292164998
0.006,0.6,0.45000000000000007,-273.98949054764523
0.006,0.6,0.5,-245.25308027503428
0.006,0.6,0.55,-199.40955612426268
0.006,0.6,0.6,-237.3809685458673
0.006,0.65,0.1,-1581.3669992426994
